KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	Schreiber1_000

MEASUREMENT
Mode	ConstantHead
Sample rate [s]	1
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
3/29/2016 10:41:35 AM	425.55	4.344	21.160
3/29/2016 10:41:37 AM	427.32	4.315	21.160
3/29/2016 10:41:38 AM	429.06	4.316	21.160
3/29/2016 10:41:40 AM	430.73	4.460	21.160
3/29/2016 10:41:42 AM	432.56	4.527	21.160
3/29/2016 10:41:44 AM	434.27	4.442	21.160
3/29/2016 10:41:45 AM	435.97	4.452	21.160
3/29/2016 10:41:47 AM	437.70	4.352	21.160
3/29/2016 10:41:49 AM	439.44	4.450	21.160
3/29/2016 10:41:51 AM	441.20	4.318	21.170
3/29/2016 10:41:52 AM	442.96	4.356	21.170
3/29/2016 10:41:54 AM	444.69	4.317	21.170
3/29/2016 10:41:56 AM	446.44	4.533	21.170
3/29/2016 10:41:58 AM	448.19	4.475	21.170
3/29/2016 10:41:59 AM	449.86	4.444	21.170
3/29/2016 10:42:01 AM	451.56	4.336	21.170
3/29/2016 10:42:03 AM	453.31	4.440	21.170
3/29/2016 10:42:04 AM	455.01	4.322	21.170
3/29/2016 10:42:06 AM	456.80	4.500	21.170
3/29/2016 10:42:08 AM	458.56	4.304	21.170
3/29/2016 10:42:10 AM	460.51	4.300	21.170
3/29/2016 10:42:12 AM	462.21	4.519	21.180
3/29/2016 10:42:13 AM	463.98	4.559	21.180
3/29/2016 10:42:15 AM	465.75	4.554	21.180
3/29/2016 10:42:17 AM	467.45	4.438	21.180
3/29/2016 10:42:19 AM	469.15	4.331	21.180
3/29/2016 10:42:20 AM	470.93	4.328	21.180
3/29/2016 10:42:22 AM	472.66	4.302	21.180
3/29/2016 10:42:24 AM	474.44	4.305	21.180
3/29/2016 10:42:26 AM	476.14	4.492	21.180
3/29/2016 10:42:27 AM	477.84	4.546	21.180
3/29/2016 10:42:29 AM	479.62	4.555	21.180
3/29/2016 10:42:31 AM	481.35	4.437	21.180
3/29/2016 10:42:32 AM	483.09	4.315	21.180
